signal,freq_Hz,psd
force_col_1,0,4.401804511e-16
force_col_1,0.6153846154,3.763192338e-16
force_col_1,1.230769231,1.740826561e-17
force_col_1,1.846153846,6.274514337e-18
force_col_1,2.461538462,4.107341268e-19
force_col_1,3.076923077,1.687728931e-18
force_col_1,3.692307692,6.668447749e-19
force_col_1,4.307692308,4.495026009e-19
force_col_1,4.923076923,1.667705812e-18
force_col_1,5.538461538,3.894516316e-16
force_col_1,6.153846154,2.061706283e-15
force_col_1,6.769230769,7.555883905e-16
force_col_1,7.384615385,8.637666688e-18
force_col_1,8,2.770911432e-18
force_col_1,8.615384615,1.056885418e-18
force_col_1,9.230769231,2.326507938e-18
force_col_1,9.846153846,1.236142674e-18
force_col_1,10.46153846,3.100073059e-19
force_col_1,11.07692308,3.504728437e-19
force_col_1,11.69230769,8.120729432e-18
force_col_1,12.30769231,4.168144359e-17
force_col_1,12.92307692,1.910375594e-17
force_col_1,13.53846154,9.812519514e-19
force_col_1,14.15384615,1.084381986e-19
force_col_1,14.76923077,4.234221795e-20
force_col_1,15.38461538,1.092359342e-19
force_col_1,16,6.620206784e-20
force_col_1,16.61538462,1.674270141e-20
force_col_1,17.23076923,5.645071389e-21
force_col_1,17.84615385,1.7847156e-19
force_col_1,18.46153846,1.343949898e-18
force_col_1,19.07692308,7.806019877e-19
force_col_1,19.69230769,1.649354086e-20
force_col_1,20.30769231,2.891129246e-21
force_col_1,20.92307692,6.033962544e-22
force_col_1,21.53846154,8.210299733e-22
force_col_1,22.15384615,6.223168981e-22
force_col_1,22.76923077,5.776828266e-22
force_col_1,23.38461538,3.219792682e-22
force_col_1,24,2.4085179e-21
force_col_1,24.61538462,1.705360729e-20
force_col_1,25.23076923,1.235755813e-20
force_col_1,25.84615385,7.499725698e-22
force_col_1,26.46153846,3.150332304e-22
force_col_1,27.07692308,1.550560618e-22
force_col_1,27.69230769,1.78032737e-22
force_col_1,28.30769231,1.152166597e-22
force_col_1,28.92307692,1.327499533e-22
force_col_1,29.53846154,9.878790389e-23
force_col_1,30.15384615,1.388675831e-22
force_col_1,30.76923077,2.171941613e-22
force_col_1,31.38461538,1.839084622e-22
force_col_1,32,1.023919602e-22
force_col_1,32.61538462,6.414553463e-23
force_col_1,33.23076923,6.183464656e-23
force_col_1,33.84615385,4.092936817e-23
force_col_1,34.46153846,3.83224822e-23
force_col_1,35.07692308,3.391731216e-23
force_col_1,35.69230769,3.627209575e-23
force_col_1,36.30769231,3.329455696e-23
force_col_1,36.92307692,6.849885111e-23
force_col_1,37.53846154,5.943377484e-23
force_col_1,38.15384615,3.639097624e-23
force_col_1,38.76923077,1.500042395e-23
force_col_1,39.38461538,1.318195636e-23
force_col_1,40,1.349879301e-23
force_col_1,40.61538462,1.190442819e-23
force_col_1,41.23076923,1.954269364e-23
force_col_1,41.84615385,2.633486322e-23
force_col_1,42.46153846,2.474310824e-23
force_col_1,43.07692308,2.291400006e-23
force_col_1,43.69230769,2.724406273e-23
force_col_1,44.30769231,2.849044611e-23
force_col_1,44.92307692,2.188502763e-23
force_col_1,45.53846154,1.690738917e-23
force_col_1,46.15384615,1.216517435e-23
force_col_1,46.76923077,9.618167091e-24
force_col_1,47.38461538,1.319044635e-23
force_col_1,48,1.231505297e-23
force_col_1,48.61538462,1.250486032e-23
force_col_1,49.23076923,1.922470412e-23
force_col_1,49.84615385,3.402986402e-23
force_col_1,50.46153846,2.603538799e-23
force_col_1,51.07692308,9.562661703e-24
force_col_1,51.69230769,9.760926152e-24
force_col_1,52.30769231,1.240498704e-23
force_col_1,52.92307692,8.774143792e-24
force_col_1,53.53846154,1.071979975e-23
force_col_1,54.15384615,4.586623713e-24
force_col_1,54.76923077,2.673863742e-24
force_col_1,55.38461538,8.65525733e-24
force_col_1,56,1.075049575e-23
force_col_1,56.61538462,1.453674687e-23
force_col_1,57.23076923,1.190923178e-23
force_col_1,57.84615385,1.299893114e-23
force_col_1,58.46153846,1.261914141e-23
