metric,mean,std,minimum,maximum
Q_air,1.4702755221208148,0.06560545518030589,1.2640407725459626,1.6454388340359645
Q_air_massT,1.4734479926790414,0.07966913947489465,1.2149709119791487,1.6724847226385458
Q_wall,1.480658803036852,0.002745812456718698,1.475780555,1.48759532
Q_tube,0.3617704591317926,0.0010118792260541698,0.359853431,0.364449091
Q_fin_min,0.5603686465290443,0.0011595848808454818,0.557524671,0.5646538
Q_fin_max,0.558519697376015,0.0014849020235703967,0.556152495,0.562347349
Q_fins,1.1188883439050592,0.0020665878275649436,1.115387352,1.124761918
closure_pct,0.9135267915416332,4.660770218591025,-10.036186676772875,17.11885431823137
closure_ratio_of_means_pct,0.7062132749826137,1.1105699151271775e-16,0.7062132749826138,0.7062132749826138
closure_massT_pct,0.7925362949586636,5.628378527468979,-11.611288044065157,21.632257729752283
tube_share_pct,24.43305996846523,0.04401137066093331,24.337409476124527,24.567860716548466
fins_share_pct,75.56694003153476,0.0440113706609334,75.43213928345152,75.66259052387548
fin_min_share_pct,37.84594481906849,0.06797993614171684,37.718926783296276,38.04715494443823
fin_max_share_pct,37.720995212466285,0.05295275041671322,37.588116436328455,37.85124638466443
Nu_tube_wall,8.434408434356973,0.0605966025014644,8.243016065707911,8.607445454981555
Nu_fin_min_wall,7.648288447119798,0.061116762039610285,7.4486005012082135,7.8148700950477155
Nu_fin_max_wall,7.623031508785179,0.059653319080659815,7.436504834419196,7.76572272135346
Nu_fins_wall,7.6356599775887055,0.059287765339251126,7.442552667639486,7.789370061066777
Nu_total_wall,7.816520943152269,0.05907713798840172,7.62380194811847,7.974607233537642
Nu_EB,7.766842400494938,0.4016011682084393,6.521057650131898,8.864238785528153
